,SchoolName,Year,State,number_grads,state_rank
0,"AKRON, UNIVERSITY OF",2012,Ohio,100,1
1,"ALABAMA, UNIVERSITY OF",2012,Alabama,106,1
2,ALBANY LAW SCHOOL OF UNION UNIVERSITY,2012,New York,154,1
3,AMERICAN UNIVERSITY,2012,District Of Columbia,170,1
4,APPALACHIAN SCHOOL OF LAW,2012,Virginia,24,1
5,ARIZONA STATE UNIVERSITY,2012,Arizona,155,1
6,ARIZONA SUMMIT LAW SCHOOL,2012,Arizona,126,1
7,"ARIZONA, UNIVERSITY OF",2012,Arizona,89,1
8,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2012,Arkansas,81,1
9,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2012,Arkansas,93,1
10,ATLANTA'S JOHN MARSHALL LAW SCHOOL,2012,Georgia,131,1
11,AVE MARIA SCHOOL OF LAW,2012,Florida,54,1
12,"BALTIMORE, UNIVERSITY OF",2012,Maryland,238,1
13,BARRY UNIVERSITY,2012,Florida,110,1
14,BAYLOR UNIVERSITY,2012,Texas,117,1
15,BELMONT UNIVERSITY,2012,,0,1
16,BOSTON COLLEGE,2012,Massachusetts,116,1
17,BOSTON UNIVERSITY,2012,Massachusetts,110,1
18,BRIGHAM YOUNG UNIVERSITY,2012,Utah,71,1
19,BROOKLYN LAW SCHOOL,2012,New York,283,1
20,CALIFORNIA WESTERN SCHOOL OF LAW,2012,California,138,1
21,"CALIFORNIA-BERKELEY, UNIVERSITY OF",2012,California,182,1
22,"CALIFORNIA-DAVIS, UNIVERSITY OF",2012,California,161,1
23,"CALIFORNIA-HASTINGS, UNIVERSITY OF",2012,California,300,1
24,"CALIFORNIA-IRVINE, UNIVERSITY OF",2012,CALIFORNIA,37,1
25,"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",2012,California,250,1
26,CAMPBELL UNIVERSITY,2012,North Carolina,123,1
27,CAPITAL UNIVERSITY,2012,Ohio,149,1
28,CARDOZO SCHOOL OF LAW,2012,New York,236,1
29,CASE WESTERN RESERVE UNIVERSITY,2012,OHIO,66,1
30,CATHOLIC UNIVERSITY OF AMERICA,2012,District Of Columbia,89,1
31,CHAPMAN UNIVERSITY,2012,California,116,1
32,CHARLESTON SCHOOL OF LAW,2012,South Carolina,136,1
33,CHARLOTTE SCHOOL OF LAW,2012,North Carolina,154,1
34,"CHICAGO, UNIVERSITY OF",2012,Illinois,76,1
35,CHICAGO-KENT COLLEGE OF LAW-IIT,2012,Illinois,205,1
36,"CINCINNATI, UNIVERSITY OF",2012,Ohio,89,1
37,CITY UNIVERSITY OF NEW YORK,2012,New York,90,1
38,CLEVELAND STATE UNIVERSITY,2012,Ohio,126,1
39,"COLORADO, UNIVERSITY OF",2012,Colorado,136,1
40,COLUMBIA UNIVERSITY,2012,New York,316,1
41,"CONNECTICUT, UNIVERSITY OF",2012,Connecticut,118,1
42,CORNELL UNIVERSITY,2012,New York,105,1
43,CREIGHTON UNIVERSITY,2012,Nebraska,73,1
44,"DAYTON, UNIVERSITY OF",2012,Ohio,69,1
45,"DENVER, UNIVERSITY OF",2012,Colorado,236,1
46,DEPAUL UNIVERSITY,2012,Illinois,234,1
47,"DETROIT MERCY, UNIVERSITY OF",2012,Michigan,94,1
48,DISTRICT OF COLUMBIA,2012,District Of Columbia,18,1
49,DRAKE UNIVERSITY,2012,Iowa,97,1
50,DREXEL UNIVERSITY,2012,Pennsylvania,72,1
51,DUKE UNIVERSITY,2012,New York,48,1
52,DUQUESNE UNIVERSITY,2012,Pennsylvania,139,1
53,ELON UNIVERSITY,2012,North Carolina,77,1
54,EMORY UNIVERSITY,2012,Georgia,121,1
55,FAULKNER UNIVERSITY,2012,Alabama,46,1
56,FLORIDA A&M UNIVERSITY,2012,Florida,84,1
57,FLORIDA COASTAL SCHOOL OF LAW,2012,Florida,243,1
58,FLORIDA INTERNATIONAL UNIVERSITY,2012,Florida,140,1
59,FLORIDA STATE UNIVERSITY,2012,Florida,215,1
60,"FLORIDA, UNIVERSITY OF",2012,Florida,222,1
61,FORDHAM UNIVERSITY,2012,New York,367,1
62,GEORGE MASON UNIVERSITY,2012,Virginia,91,1
63,GEORGE WASHINGTON UNIVERSITY,2012,District Of Columbia,277,1
64,GEORGETOWN UNIVERSITY,2012,District Of Columbia,256,1
65,GEORGIA STATE UNIVERSITY,2012,Georgia,159,1
66,"GEORGIA, UNIVERSITY OF",2012,GEORGIA,152,1
67,GOLDEN GATE UNIVERSITY,2012,California,116,1
68,GONZAGA UNIVERSITY,2012,Washington,77,1
69,HAMLINE UNIVERSITY,2012,Minnesota,133,1
70,HARVARD UNIVERSITY,2012,New York,156,1
71,"HAWAII, UNIVERSITY OF",2012,Hawaii,75,1
72,HOFSTRA UNIVERSITY,2012,New York,224,1
73,"HOUSTON, UNIVERSITY OF",2012,Texas,217,1
74,HOWARD UNIVERSITY,2012,District Of Columbia,47,1
75,"IDAHO, UNIVERSITY OF",2012,Idaho,62,1
76,"ILLINOIS, UNIVERSITY OF",2012,Illinois,110,1
77,INDIANA UNIVERSITY - BLOOMINGTON,2012,Indiana,66,1
78,INDIANA UNIVERSITY - INDIANAPOLIS,2012,Indiana,205,1
79,INTER AMERICAN UNIVERSITY OF PUERTO RICO,2012,Puerto Rico,153,1
80,"IOWA, UNIVERSITY OF",2012,Iowa,66,1
81,"KANSAS, UNIVERSITY OF",2012,Kansas,61,1
82,"KENTUCKY, UNIVERSITY OF",2012,Kentucky,97,1
83,LEWIS AND CLARK COLLEGE,2012,Oregon,112,1
84,LIBERTY UNIVERSITY,2012,Virginia,32,1
85,LINCOLN MEMORIAL,2012,,0,1
86,LOUISIANA STATE UNIVERSITY,2012,Louisiana,155,1
87,"LOUISVILLE, UNIVERSITY OF",2012,Kentucky,88,1
88,LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,2012,California,285,1
89,LOYOLA UNIVERSITY-CHICAGO,2012,Illinois,183,1
90,LOYOLA UNIVERSITY-NEW ORLEANS,2012,Louisiana,126,1
91,"MAINE, UNIVERSITY OF",2012,Maine,51,1
92,MARQUETTE UNIVERSITY,2012,Wisconsin,141,1
93,"MARYLAND, UNIVERSITY OF",2012,Maryland,194,1
94,MCGEORGE SCHOOL OF LAW,2012,California,208,1
95,"MEMPHIS, UNIVERSITY OF",2012,Tennessee,98,1
96,MERCER UNIVERSITY,2012,Georgia,97,1
97,"MIAMI, UNIVERSITY OF",2012,Florida,273,1
98,MICHIGAN STATE UNIVERSITY,2012,Michigan,137,1
99,"MICHIGAN, UNIVERSITY OF",2012,New York,70,1
100,"MINNESOTA, UNIVERSITY OF",2012,Minnesota,142,1
101,MISSISSIPPI COLLEGE,2012,Mississippi,82,1
102,"MISSISSIPPI, UNIVERSITY OF",2012,Mississippi,76,1
103,"MISSOURI, UNIVERSITY OF",2012,Missouri,115,1
104,"MISSOURI-KANSAS CITY, UNIVERSITY OF",2012,Missouri,102,1
105,"MONTANA, UNIVERSITY OF",2012,Montana,53,1
106,"NEBRASKA, UNIVERSITY OF",2012,Nebraska,84,1
107,NEW ENGLAND LAW | BOSTON,2012,Massachusetts,187,1
108,NEW HAMPSHIRE UNIVERSITY OF,2012,New Hampshire,34,1
109,"NEW MEXICO, UNIVERSITY OF",2012,New Mexico,87,1
110,NEW YORK LAW SCHOOL,2012,New York,362,1
111,NEW YORK UNIVERSITY,2012,New York,296,1
112,NORTH CAROLINA CENTRAL UNIVERSITY,2012,North Carolina,54,1
113,"NORTH CAROLINA, UNIVERSITY OF",2012,North Carolina,120,1
114,"NORTH DAKOTA, UNIVERSITY OF",2012,North Dakota,57,1
115,NORTHEASTERN UNIVERSITY,2012,Massachusetts,121,1
116,NORTHERN ILLINOIS UNIVERSITY,2012,Illinois,66,1
117,NORTHERN KENTUCKY UNIVERSITY,2012,Ohio,68,1
118,NORTHWESTERN UNIVERSITY,2012,Illinois,115,1
119,"NOTRE DAME, UNIVERSITY OF",2012,Illinois,25,1
120,NOVA SOUTHEASTERN UNIVERSITY,2012,Florida,248,1
121,OHIO NORTHERN UNIVERSITY,2012,Ohio,38,1
122,OHIO STATE UNIVERSITY,2012,Ohio,137,1
123,OKLAHOMA CITY UNIVERSITY,2012,Oklahoma,121,1
124,"OKLAHOMA, UNIVERSITY OF",2012,Oklahoma,128,1
125,"OREGON, UNIVERSITY OF",2012,Oregon,60,1
126,PACE UNIVERSITY,2012,New York,140,1
127,PENNSYLVANIA STATE UNIVERSITY,2012,Pennsylvania,76,1
128,"PENNSYLVANIA, UNIVERSITY OF",2012,New York,105,1
129,PEPPERDINE UNIVERSITY,2012,California,139,1
130,"PITTSBURGH, UNIVERSITY OF",2012,Pennsylvania,115,1
131,PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,2012,Puerto Rico,58,1
132,"PUERTO RICO, UNIVERSITY OF",2012,Puerto Rico,97,1
133,QUINNIPIAC UNIVERSITY,2012,Connecticut,102,1
134,REGENT UNIVERSITY,2012,Virginia,35,1
135,"RICHMOND, UNIVERSITY OF",2012,Virginia,78,1
136,ROGER WILLIAMS UNIVERSITY,2012,Rhode Island,69,1
137,RUTGERS UNIVERSITY-CAMDEN,2012,New Jersey,105,1
138,RUTGERS UNIVERSITY-NEWARK,2012,New Jersey,153,1
139,SAINT LOUIS UNIVERSITY,2012,Missouri,155,1
140,SAMFORD UNIVERSITY,2012,Alabama,89,1
141,"SAN DIEGO, UNIVERSITY OF",2012,California,236,1
142,"SAN FRANCISCO, UNIVERSITY OF",2012,California,126,1
143,SANTA CLARA UNIVERSITY,2012,California,208,1
144,SEATTLE UNIVERSITY,2012,Washington,235,1
145,SETON HALL UNIVERSITY,2012,New Jersey,207,1
146,"SOUTH CAROLINA, UNIVERSITY OF",2012,South Carolina,134,1
147,"SOUTH DAKOTA, UNIVERSITY OF",2012,South Dakota,54,1
148,SOUTH TEXAS COLLEGE OF LAW HOUSTON,2012,Texas,264,1
149,"SOUTHERN CALIFORNIA, UNIVERSITY OF",2012,California,161,1
150,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,2012,Illinois,65,1
151,SOUTHERN METHODIST UNIVERSITY,2012,Texas,255,1
152,SOUTHERN UNIVERSITY,2012,Louisiana,81,1
153,SOUTHWESTERN LAW SCHOOL,2012,California,212,1
154,ST. JOHN'S UNIVERSITY,2012,New York,201,1
155,ST. MARY'S UNIVERSITY,2012,Texas,210,1
156,ST. THOMAS UNIVERSITY (FLORIDA),2012,Florida,116,1
157,"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",2012,Minnesota,115,1
158,STANFORD UNIVERSITY,2012,California,89,1
159,STETSON UNIVERSITY,2012,Florida,256,1
160,SUFFOLK UNIVERSITY,2012,Massachusetts,309,1
161,SYRACUSE UNIVERSITY,2012,New York,73,1
162,TEMPLE UNIVERSITY,2012,Pennsylvania,167,1
163,"TENNESSEE, UNIVERSITY OF",2012,Tennessee,89,1
164,TEXAS A&M UNIVERSITY,2012,Texas,155,1
165,"TEXAS AT AUSTIN, UNIVERSITY OF",2012,Texas,253,1
166,TEXAS SOUTHERN UNIVERSITY,2012,Texas,104,1
167,TEXAS TECH UNIVERSITY,2012,Texas,166,1
168,THOMAS JEFFERSON SCHOOL OF LAW,2012,California,100,1
169,"TOLEDO, UNIVERSITY OF",2012,Ohio,82,1
170,TOURO COLLEGE,2012,New York,154,1
171,TULANE UNIVERSITY,2012,Louisiana,88,1
172,"TULSA, UNIVERSITY OF",2012,Oklahoma,86,1
173,UNIVERSITY OF BUFFALO-SUNY,2012,New York,44,1
174,UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,2012,Illinois,273,1
175,UNIVERSITY OF LA VERNE,2012,California,62,1
176,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,2012,Massachusetts,25,1
177,UNIVERSITY OF NEVADA - LAS VEGAS,2012,Nevada,117,1
178,"UTAH, UNIVERSITY OF",2012,Utah,96,1
179,VALPARAISO UNIVERSITY,2012,Indiana,56,1
180,VANDERBILT UNIVERSITY,2012,Tennessee,42,1
181,VERMONT LAW SCHOOL,2012,Vermont,39,1
182,VILLANOVA UNIVERSITY,2012,Pennsylvania,94,1
183,"VIRGINIA, UNIVERSITY OF",2012,District of Columbia,80,1
184,WAKE FOREST UNIVERSITY,2012,North Carolina,73,1
185,WASHBURN UNIVERSITY,2012,Kansas,90,1
186,WASHINGTON AND LEE UNIVERSITY,2012,Virginia,32,1
187,WASHINGTON UNIVERSITY,2012,Missouri,74,1
188,"WASHINGTON, UNIVERSITY OF",2012,Washington,108,1
189,WAYNE STATE UNIVERSITY,2012,Michigan,133,1
190,WEST VIRGINIA UNIVERSITY,2012,West Virginia,100,1
191,WESTERN MICHIGAN UNIVERSITY,2012,Michigan,223,1
192,WESTERN NEW ENGLAND UNIVERSITY,2012,Massachusetts,52,1
193,WESTERN STATE COLLEGE OF LAW,2012,CALIFORNIA,46,1
194,WHITTIER LAW SCHOOL,2012,California,103,1
195,WIDENER UNIVERSITY-DELAWARE,2012,Pennsylvania,99,1
196,WIDENER-COMMONWEALTH,2012,Pennsylvania,64,1
197,WILLAMETTE UNIVERSITY,2012,Oregon,76,1
198,WILLIAM AND MARY LAW SCHOOL,2012,Virginia,72,1
199,WILLIAM MITCHELL COLLEGE OF LAW,2012,Minnesota,231,1
200,"WISCONSIN, UNIVERSITY OF",2012,Wisconsin,167,1
201,"WYOMING, UNIVERSITY OF",2012,Wyoming,38,1
202,YALE UNIVERSITY,2012,New York,64,1
0,"AKRON, UNIVERSITY OF",2013,Ohio,122,1
1,"ALABAMA, UNIVERSITY OF",2013,Alabama,88,1
2,ALBANY LAW SCHOOL OF UNION UNIVERSITY,2013,New York,141,1
3,AMERICAN UNIVERSITY,2013,District of Columbia,169,1
4,APPALACHIAN SCHOOL OF LAW,2013,Virginia,17,1
5,ARIZONA STATE UNIVERSITY,2013,Arizona,172,1
6,ARIZONA SUMMIT LAW SCHOOL,2013,Arizona,167,1
7,"ARIZONA, UNIVERSITY OF",2013,Arizona,82,1
8,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2013,Arkansas,80,1
9,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2013,Arkansas,95,1
10,ATLANTA'S JOHN MARSHALL LAW SCHOOL,2013,Georgia,166,1
11,AVE MARIA SCHOOL OF LAW,2013,Florida,62,1
12,"BALTIMORE, UNIVERSITY OF",2013,Maryland,210,1
13,BARRY UNIVERSITY,2013,Florida,103,1
14,BAYLOR UNIVERSITY,2013,Texas,135,1
15,BELMONT UNIVERSITY,2013,,0,1
16,BOSTON COLLEGE,2013,Massachusetts,119,1
17,BOSTON UNIVERSITY,2013,Massachusetts,116,1
18,BRIGHAM YOUNG UNIVERSITY,2013,Utah,67,1
19,BROOKLYN LAW SCHOOL,2013,New York,363,1
20,CALIFORNIA WESTERN SCHOOL OF LAW,2013,California,123,1
21,"CALIFORNIA-BERKELEY, UNIVERSITY OF",2013,California,185,1
22,"CALIFORNIA-DAVIS, UNIVERSITY OF",2013,California,150,1
23,"CALIFORNIA-HASTINGS, UNIVERSITY OF",2013,California,234,1
24,"CALIFORNIA-IRVINE, UNIVERSITY OF",2013,CALIFORNIA,50,1
25,"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",2013,California,255,1
26,CAMPBELL UNIVERSITY,2013,North Carolina,110,1
27,CAPITAL UNIVERSITY,2013,Ohio,126,1
28,CARDOZO SCHOOL OF LAW,2013,New York,250,1
29,CASE WESTERN RESERVE UNIVERSITY,2013,Ohio,117,1
30,CATHOLIC UNIVERSITY OF AMERICA,2013,District of Columbia,88,1
31,CHAPMAN UNIVERSITY,2013,California,114,1
32,CHARLESTON SCHOOL OF LAW,2013,South Carolina,142,1
33,CHARLOTTE SCHOOL OF LAW,2013,North Carolina,191,1
34,"CHICAGO, UNIVERSITY OF",2013,Illinois,62,1
35,CHICAGO-KENT COLLEGE OF LAW-IIT,2013,Illinois,200,1
36,"CINCINNATI, UNIVERSITY OF",2013,Ohio,80,1
37,CITY UNIVERSITY OF NEW YORK,2013,New York,87,1
38,CLEVELAND STATE UNIVERSITY,2013,Ohio,116,1
39,"COLORADO, UNIVERSITY OF",2013,Colorado,125,1
40,COLUMBIA UNIVERSITY,2013,New York,291,1
41,"CONNECTICUT, UNIVERSITY OF",2013,Connecticut,102,1
42,CORNELL UNIVERSITY,2013,New York,109,1
43,CREIGHTON UNIVERSITY,2013,Nebraska,62,1
44,"DAYTON, UNIVERSITY OF",2013,Ohio,72,1
45,"DENVER, UNIVERSITY OF",2013,Colorado,203,1
46,DEPAUL UNIVERSITY,2013,Illinois,191,1
47,"DETROIT MERCY, UNIVERSITY OF",2013,Michigan,105,1
48,DISTRICT OF COLUMBIA,2013,District Of Columbia,27,1
49,DRAKE UNIVERSITY,2013,Iowa,90,1
50,DREXEL UNIVERSITY,2013,Pennsylvania,69,1
51,DUKE UNIVERSITY,2013,New York,50,1
52,DUQUESNE UNIVERSITY,2013,Pennsylvania,161,1
53,ELON UNIVERSITY,2013,North Carolina,72,1
54,EMORY UNIVERSITY,2013,Georgia,147,1
55,FAULKNER UNIVERSITY,2013,Alabama,53,1
56,FLORIDA A&M UNIVERSITY,2013,Florida,123,1
57,FLORIDA COASTAL SCHOOL OF LAW,2013,Florida,239,1
58,FLORIDA INTERNATIONAL UNIVERSITY,2013,Florida,125,1
59,FLORIDA STATE UNIVERSITY,2013,Florida,176,1
60,"FLORIDA, UNIVERSITY OF",2013,Florida,190,1
61,FORDHAM UNIVERSITY,2013,New York,372,1
62,GEORGE MASON UNIVERSITY,2013,Virginia,116,1
63,GEORGE WASHINGTON UNIVERSITY,2013,District Of Columbia,263,1
64,GEORGETOWN UNIVERSITY,2013,District Of Columbia,238,1
65,GEORGIA STATE UNIVERSITY,2013,Georgia,157,1
66,"GEORGIA, UNIVERSITY OF",2013,Georgia,157,1
67,GOLDEN GATE UNIVERSITY,2013,California,112,1
68,GONZAGA UNIVERSITY,2013,Washington,89,1
69,HAMLINE UNIVERSITY,2013,Minnesota,128,1
70,HARVARD UNIVERSITY,2013,New York,197,1
71,"HAWAII, UNIVERSITY OF",2013,Hawaii,81,1
72,HOFSTRA UNIVERSITY,2013,New York,187,1
73,"HOUSTON, UNIVERSITY OF",2013,Texas,209,1
74,HOWARD UNIVERSITY,2013,District Of Columbia,43,1
75,"IDAHO, UNIVERSITY OF",2013,Idaho,49,1
76,"ILLINOIS, UNIVERSITY OF",2013,Illinois,138,1
77,INDIANA UNIVERSITY - BLOOMINGTON,2013,Indiana,77,1
78,INDIANA UNIVERSITY - INDIANAPOLIS,2013,Indiana,195,1
79,INTER AMERICAN UNIVERSITY OF PUERTO RICO,2013,Puerto Rico,146,1
80,"IOWA, UNIVERSITY OF",2013,Iowa,65,1
81,"KANSAS, UNIVERSITY OF",2013,Kansas,74,1
82,"KENTUCKY, UNIVERSITY OF",2013,Kentucky,88,1
83,LEWIS AND CLARK COLLEGE,2013,Oregon,135,1
84,LIBERTY UNIVERSITY,2013,Virginia,30,1
85,LINCOLN MEMORIAL,2013,,0,1
86,LOUISIANA STATE UNIVERSITY,2013,Louisiana,157,1
87,"LOUISVILLE, UNIVERSITY OF",2013,Kentucky,87,1
88,LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,2013,California,306,1
89,LOYOLA UNIVERSITY-CHICAGO,2013,Illinois,194,1
90,LOYOLA UNIVERSITY-NEW ORLEANS,2013,Louisiana,133,1
91,"MAINE, UNIVERSITY OF",2013,Maine,59,1
92,MARQUETTE UNIVERSITY,2013,Wisconsin,144,1
93,"MARYLAND, UNIVERSITY OF",2013,Maryland,171,1
94,MCGEORGE SCHOOL OF LAW,2013,California,174,1
95,"MEMPHIS, UNIVERSITY OF",2013,Tennessee,88,1
96,MERCER UNIVERSITY,2013,Georgia,112,1
97,"MIAMI, UNIVERSITY OF",2013,Florida,288,1
98,MICHIGAN STATE UNIVERSITY,2013,Michigan,136,1
99,"MICHIGAN, UNIVERSITY OF",2013,New York,68,1
100,"MINNESOTA, UNIVERSITY OF",2013,Minnesota,174,1
101,MISSISSIPPI COLLEGE,2013,Mississippi,83,1
102,"MISSISSIPPI, UNIVERSITY OF",2013,Mississippi,78,1
103,"MISSOURI, UNIVERSITY OF",2013,Missouri,92,1
104,"MISSOURI-KANSAS CITY, UNIVERSITY OF",2013,Missouri,100,1
105,"MONTANA, UNIVERSITY OF",2013,Montana,54,1
106,"NEBRASKA, UNIVERSITY OF",2013,Nebraska,90,1
107,NEW ENGLAND LAW | BOSTON,2013,Massachusetts,193,1
108,NEW HAMPSHIRE UNIVERSITY OF,2013,New Hampshire,34,1
109,"NEW MEXICO, UNIVERSITY OF",2013,New Mexico,87,1
110,NEW YORK LAW SCHOOL,2013,New York,360,1
111,NEW YORK UNIVERSITY,2013,New York,341,1
112,NORTH CAROLINA CENTRAL UNIVERSITY,2013,North Carolina,60,1
113,"NORTH CAROLINA, UNIVERSITY OF",2013,North Carolina,117,1
114,"NORTH DAKOTA, UNIVERSITY OF",2013,North Dakota,41,1
115,NORTHEASTERN UNIVERSITY,2013,Massachusetts,126,1
116,NORTHERN ILLINOIS UNIVERSITY,2013,Illinois,80,1
117,NORTHERN KENTUCKY UNIVERSITY,2013,Ohio,68,1
118,NORTHWESTERN UNIVERSITY,2013,Illinois,104,1
119,"NOTRE DAME, UNIVERSITY OF",2013,Illinois,29,1
120,NOVA SOUTHEASTERN UNIVERSITY,2013,Florida,238,1
121,OHIO NORTHERN UNIVERSITY,2013,Ohio,27,1
122,OHIO STATE UNIVERSITY,2013,Ohio,162,1
123,OKLAHOMA CITY UNIVERSITY,2013,Oklahoma,111,1
124,"OKLAHOMA, UNIVERSITY OF",2013,Oklahoma,110,1
125,"OREGON, UNIVERSITY OF",2013,Oregon,65,1
126,PACE UNIVERSITY,2013,New York,181,1
127,PENNSYLVANIA STATE UNIVERSITY,2013,Pennsylvania,58,1
128,"PENNSYLVANIA, UNIVERSITY OF",2013,New York,104,1
129,PEPPERDINE UNIVERSITY,2013,California,128,1
130,"PITTSBURGH, UNIVERSITY OF",2013,Pennsylvania,147,1
131,PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,2013,Puerto Rico,88,1
132,"PUERTO RICO, UNIVERSITY OF",2013,Puerto Rico,94,1
133,QUINNIPIAC UNIVERSITY,2013,Connecticut,91,1
134,REGENT UNIVERSITY,2013,Virginia,36,1
135,"RICHMOND, UNIVERSITY OF",2013,Virginia,92,1
136,ROGER WILLIAMS UNIVERSITY,2013,Rhode Island,61,1
137,RUTGERS UNIVERSITY-CAMDEN,2013,New Jersey,143,1
138,RUTGERS UNIVERSITY-NEWARK,2013,New Jersey,153,1
139,SAINT LOUIS UNIVERSITY,2013,Missouri,178,1
140,SAMFORD UNIVERSITY,2013,Alabama,79,1
141,"SAN DIEGO, UNIVERSITY OF",2013,California,212,1
142,"SAN FRANCISCO, UNIVERSITY OF",2013,California,100,1
143,SANTA CLARA UNIVERSITY,2013,California,222,1
144,SEATTLE UNIVERSITY,2013,Washington,194,1
145,SETON HALL UNIVERSITY,2013,New Jersey,186,1
146,"SOUTH CAROLINA, UNIVERSITY OF",2013,South Carolina,135,1
147,"SOUTH DAKOTA, UNIVERSITY OF",2013,South Dakota,33,1
148,SOUTH TEXAS COLLEGE OF LAW HOUSTON,2013,Texas,312,1
149,"SOUTHERN CALIFORNIA, UNIVERSITY OF",2013,California,166,1
150,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,2013,Illinois,56,1
151,SOUTHERN METHODIST UNIVERSITY,2013,Texas,209,1
152,SOUTHERN UNIVERSITY,2013,Louisiana,25,1
153,SOUTHWESTERN LAW SCHOOL,2013,California,166,1
154,ST. JOHN'S UNIVERSITY,2013,New York,238,1
155,ST. MARY'S UNIVERSITY,2013,Texas,220,1
156,ST. THOMAS UNIVERSITY (FLORIDA),2013,Florida,139,1
157,"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",2013,Minnesota,99,1
158,STANFORD UNIVERSITY,2013,California,86,1
159,STETSON UNIVERSITY,2013,Florida,258,1
160,SUFFOLK UNIVERSITY,2013,Massachusetts,258,1
161,SYRACUSE UNIVERSITY,2013,New York,82,1
162,TEMPLE UNIVERSITY,2013,Pennsylvania,189,1
163,"TENNESSEE, UNIVERSITY OF",2013,Tennessee,105,1
164,TEXAS A&M UNIVERSITY,2013,Texas,117,1
165,"TEXAS AT AUSTIN, UNIVERSITY OF",2013,Texas,247,1
166,TEXAS SOUTHERN UNIVERSITY,2013,Texas,83,1
167,TEXAS TECH UNIVERSITY,2013,Texas,172,1
168,THOMAS JEFFERSON SCHOOL OF LAW,2013,California,114,1
169,"TOLEDO, UNIVERSITY OF",2013,Ohio,59,1
170,TOURO COLLEGE,2013,New York,161,1
171,TULANE UNIVERSITY,2013,Louisiana,77,1
172,"TULSA, UNIVERSITY OF",2013,Oklahoma,68,1
173,UNIVERSITY OF BUFFALO-SUNY,2013,New York,63,1
174,UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,2013,Illinois,318,1
175,UNIVERSITY OF LA VERNE,2013,California,52,1
176,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,2013,Massachusetts,58,1
177,UNIVERSITY OF NEVADA - LAS VEGAS,2013,Nevada,94,1
178,"UTAH, UNIVERSITY OF",2013,Utah,113,1
179,VALPARAISO UNIVERSITY,2013,Indiana,69,1
180,VANDERBILT UNIVERSITY,2013,Tennessee,44,1
181,VERMONT LAW SCHOOL,2013,Vermont,33,1
182,VILLANOVA UNIVERSITY,2013,Pennsylvania,95,1
183,"VIRGINIA, UNIVERSITY OF",2013,District of Columbia,67,1
184,WAKE FOREST UNIVERSITY,2013,North Carolina,59,1
185,WASHBURN UNIVERSITY,2013,Kansas,88,1
186,WASHINGTON AND LEE UNIVERSITY,2013,Virginia,30,1
187,WASHINGTON UNIVERSITY,2013,Missouri,70,1
188,"WASHINGTON, UNIVERSITY OF",2013,Washington,119,1
189,WAYNE STATE UNIVERSITY,2013,Michigan,136,1
190,WEST VIRGINIA UNIVERSITY,2013,West Virginia,78,1
191,WESTERN MICHIGAN UNIVERSITY,2013,Michigan,339,1
192,WESTERN NEW ENGLAND UNIVERSITY,2013,Connecticut,38,1
193,WESTERN STATE COLLEGE OF LAW,2013,CALIFORNIA,78,1
194,WHITTIER LAW SCHOOL,2013,California,96,1
195,WIDENER UNIVERSITY-DELAWARE,2013,Pennsylvania,107,1
196,WIDENER-COMMONWEALTH,2013,Pennsylvania,73,1
197,WILLAMETTE UNIVERSITY,2013,Oregon,86,1
198,WILLIAM AND MARY LAW SCHOOL,2013,Virginia,71,1
199,WILLIAM MITCHELL COLLEGE OF LAW,2013,Minnesota,245,1
200,"WISCONSIN, UNIVERSITY OF",2013,Wisconsin,137,1
201,"WYOMING, UNIVERSITY OF",2013,Wyoming,32,1
202,YALE UNIVERSITY,2013,New York,51,1
0,"AKRON, UNIVERSITY OF",2014,Ohio,88,1
1,"ALABAMA, UNIVERSITY OF",2014,Alabama,96,1
2,ALBANY LAW SCHOOL OF UNION UNIVERSITY,2014,New York,145,1
3,AMERICAN UNIVERSITY,2014,District of Columbia,158,1
4,APPALACHIAN SCHOOL OF LAW,2014,Virginia,19,1
5,ARIZONA STATE UNIVERSITY,2014,Arizona,151,1
6,ARIZONA SUMMIT LAW SCHOOL,2014,Arizona,212,1
7,"ARIZONA, UNIVERSITY OF",2014,Arizona,90,1
8,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2014,Arkansas,71,1
9,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2014,Arkansas,77,1
10,ATLANTA'S JOHN MARSHALL LAW SCHOOL,2014,Georgia,140,1
