MacroTrends Data Download,,
S&amp;P 500 Index - 90 Year Historical Chart,,
Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base.,,
,,
"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.",,
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, ",,
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable",,
for any damages relating to your use of the data provided.,,
,,
,,
date,real,nominal
3/1/08,1790.94,1322.7
4/1/08,1865,1385.59
5/1/08,1869.51,1400.38
6/1/08,1690.88,1280
7/1/08,1665.34,1267.38
8/1/08,1693.34,1282.83
9/1/08,1540.76,1166.36
10/1/08,1293.28,968.75
11/1/08,1219.78,896.24
12/1/08,1241.97,903.25
1/1/09,1130.63,825.88
2/1/09,1001.19,735.09
3/1/09,1084.31,797.87
4/1/09,1183.53,872.81
5/1/09,1242.68,919.14
6/1/09,1231.89,919.32
7/1/09,1326.19,987.48
8/1/09,1366.61,1020.62
9/1/09,1415.43,1057.08
10/1/09,1385.39,1036.19
11/1/09,1463.76,1095.63
12/1/09,1493.12,1115.1
1/1/10,1432.54,1073.87
2/1/10,1473.39,1104.49
3/1/10,1553,1169.43
4/1/10,1573.55,1186.69
5/1/10,1443.47,1089.41
6/1/10,1366.72,1030.71
7/1/10,1460.72,1101.6
8/1/10,1389.31,1049.33
9/1/10,1510.95,1141.2
10/1/10,1564.27,1183.26
11/1/10,1559.51,1180.55
12/1/10,1658.83,1257.64
1/1/11,1688.68,1286.12
2/1/11,1733.35,1327.22
3/1/11,1715.62,1325.83
4/1/11,1752.24,1363.61
5/1/11,1720.51,1345.2
6/1/11,1691.74,1320.64
7/1/11,1654.12,1292.28
8/1/11,1555.3,1218.89
9/1/11,1441.43,1131.42
10/1/11,1600.46,1253.3
11/1/11,1593.61,1246.96
12/1/11,1610.99,1257.6
1/1/12,1673.32,1312.41
2/1/12,1734.41,1365.68
3/1/12,1774.67,1408.47
4/1/12,1757.17,1397.91
5/1/12,1648.4,1310.33
6/1/12,1716.32,1362.16
7/1/12,1740.7,1379.32
8/1/12,1765.26,1406.58
9/1/12,1799.4,1440.67
10/1/12,1765.2,1412.16
11/1/12,1778.72,1416.18
12/1/12,1795.57,1426.19
1/1/13,1880.13,1498.11
2/1/13,1885.78,1514.68
3/1/13,1948.93,1569.19
4/1/13,1985.78,1597.57
5/1/13,2023.75,1630.74
6/1/13,1988.57,1606.28
7/1/13,2086.93,1685.73
8/1/13,2018.35,1632.97
9/1/13,2076.71,1681.55
10/1/13,2174.6,1756.54
11/1/13,2239.2,1805.81
12/1/13,2293.81,1848.36
1/1/14,2203.28,1782.59
2/1/14,2288.98,1859.45
3/1/14,2291.74,1872.34
4/1/14,2296.54,1883.95
5/1/14,2337.14,1923.57
6/1/14,2377.76,1960.23
7/1/14,2341.9,1930.67
8/1/14,2434.09,2003.37
9/1/14,2396.33,1972.29
10/1/14,2457.98,2018.05
11/1/14,2530.69,2067.56
12/1/14,2534.51,2058.9
1/1/15,2467.8,1994.99
2/1/15,2592.74,2104.5
3/1/15,2531.1,2067.89
4/1/15,2548.49,2085.51
5/1/15,2562.59,2107.39
6/1/15,2498.43,2063.11
7/1/15,2547.75,2103.84
8/1/15,2392.25,1972.18
9/1/15,2332.84,1920.03
10/1/15,2528.5,2079.36
11/1/15,2533.94,2080.41
12/1/15,2497.69,2043.94
1/1/16,2367.09,1940.24
2/1/16,2355.39,1932.23
3/1/16,2500.52,2059.74
4/1/16,2494.88,2065.3
5/1/16,2522.64,2096.96
6/1/16,2518.63,2098.86
7/1/16,2610.49,2173.6
8/1/16,2605.14,2170.95
9/1/16,2595.42,2168.27
10/1/16,2542.88,2126.15
11/1/16,2634.17,2198.81
12/1/16,2679.88,2238.83
1/1/17,2714.13,2278.87
2/1/17,2805.64,2363.64
3/1/17,2802.19,2362.72
4/1/17,2818.12,2384.2
5/1/17,2848.34,2411.8
6/1/17,2859.62,2423.41
7/1/17,2917.42,2470.3
8/1/17,2911.6,2471.65
9/1/17,2950.17,2519.36
10/1/17,3018.2,2575.26
11/1/17,3102.96,2647.58
12/1/17,3136.14,2673.61
1/1/18,3292.56,2823.81
2/1/18,3150.76,2713.83
3/1/18,3060.77,2640.87
4/1/18,3055.85,2648.05
5/1/18,3108.36,2705.27
6/1/18,3117.97,2718.37
7/1/18,3230.28,2816.29
8/1/18,3328.04,2901.52
9/1/18,3336.51,2913.98
10/1/18,3099.52,2711.74
11/1/18,3165.91,2760.17
12/1/18,2885.38,2506.85
1/1/19,3107.01,2704.1
2/1/19,3185.46,2784.49
3/1/19,3222.71,2834.4
4/1/19,3331.73,2945.83
5/1/19,3107.08,2752.06
6/1/19,3321.25,2941.76
7/1/19,3358.89,2980.38
8/1/19,3298.12,2926.46
9/1/19,3351.81,2976.74
10/1/19,3411.18,3037.56
11/1/19,3530.46,3140.98
12/1/19,3634.63,3230.78
1/1/20,3615.81,3225.52
2/1/20,3302.82,2954.22
3/1/20,2894.74,2584.59
4/1/20,3285.22,2912.43
5/1/20,3433.98,3044.31
6/1/20,3475.43,3100.29
7/1/20,3650.57,3271.12
8/1/20,3892.34,3500.31
9/1/20,3736.29,3363
10/1/20,3629.66,3269.96
11/1/20,4023.63,3621.63
12/1/20,4169.24,3756.07
1/1/21,4104.24,3714.24
2/1/21,4188.45,3811.15
3/1/21,4334.42,3972.89
4/1/21,4528.21,4181.17
5/1/21,4515.21,4204.11
6/1/21,4572.54,4297.5
7/1/21,4654.58,4395.26
8/1/21,4780.47,4522.68
9/1/21,4540.15,4307.54
10/1/21,4812.62,4605.38
11/1/21,4749.68,4567
12/1/21,4942.53,4766.18
1/1/22,4641.99,4515.55
2/1/22,4457.04,4373.94
3/1/22,4557.59,4530.41
4/1/22,4131.93,4131.93
5/1/22,4088.85,4088.85
